T[C]	HC	CO	NOx	N2O	NH3	H2
120	498.2440869	5237.788813	806.2741047	96.27181645	1.742860112	1613.763193
140	501.6383539	5193.941944	625.5855754	138.7797186	8.397674049	1467.731063
160	498.617828	5044.41367	459.5526756	160.5730203	22.26577163	1243.592923
180	498.3657417	4726.631757	348.5666026	161.2798644	46.97117625	924.6301174
200	498.5991767	4189.167456	344.0486813	134.3843557	77.65236371	748.0304197
220	489.8490319	3570.942651	426.2791064	90.05027622	124.0838983	745.8090159
240	481.945036	3042.34637	507.3980638	46.33449062	198.9476938	751.6348051
260	462.8529591	2867.270177	559.2647363	20.48796815	264.5819911	758.1509193
280	447.7103604	2395.318229	370.4072774	17.71726197	318.3952212	765.6194162
300	388.5947084	1286.081463	105.6160784	19.74245181	389.1838772	782.2802844
320	252.0970503	459.6363648	27.45581026	22.53335197	292.0718205	812.8249047
340	92.23655143	88.93104387	6.895119556	32.15809921	121.5717591	877.49658
360	18.78883805	41.84333593	1.117868	23.66256453	45.04515005	1061.165191
380	8.239098785	39.82029097	0.953264673	3.267091987	58.93690779	1310.436641
400	0.824302103	40.16793016	0.962927104	0.091804509	98.79475659	1344.444388
420	0.282400344	44.38754612	0.995130836	0.017865971	117.4327838	1314.88971
440	0.251575309	50.34932063	1.010520499	0.017310447	126.2339501	1284.204168
460	0.234274938	62.19165077	1.014177342	0.014698426	127.4757941	1295.753942
480	0.207485257	67.46262049	0.965138805	0.010968152	90.36201089	1260.04376
500	0.197161564	89.90380752	0.915275461	0.008841	77.50786984	1306.383218
520	0.171379052	96.34036615	0.858792133	0.007051805	45.57789418	1274.078267
