T[C]	HC	CO	NOx	N2O	NH3	H2
120	373.489255	5053.029802	789.4831844	94.19800912	8.072552176	1510.155722
140	377.3876295	4990.989159	627.4131366	130.6318876	17.34885432	1366.374549
160	367.9486857	4853.22956	470.7075493	151.0444006	30.16090993	1153.099946
180	365.3981184	4589.027078	357.8515551	151.0592269	60.20903854	906.9032949
200	358.912438	4163.528224	303.0590536	128.2602822	111.6621051	723.1151428
220	357.6398623	3609.270506	338.8709216	84.01225439	187.6756559	664.4523267
240	349.6220182	3275.352865	414.8245862	38.60932229	281.8226421	662.2243646
260	345.0236847	3290.524223	494.5625607	13.89465479	320.3230521	662.022481
280	337.8387076	2800.064366	358.1351255	12.12312863	371.6934706	665.9432823
300	307.5951836	1563.537549	99.46333357	14.12212647	454.2067516	676.2409818
320	237.9449663	702.3338116	32.38743986	16.61322102	348.541465	695.9075158
340	66.94679281	110.8447546	6.70118253	22.99804995	87.21005009	759.0013094
360	11.18141296	24.14743542	0.73914366	13.4989104	22.84001172	875.1628472
380	3.860334643	17.56244126	0.626099379	4.072868422	17.70012018	943.7393047
400	0.938632204	13.62374834	0.627570262	0.100924375	25.68181714	947.4742308
420	0.792930136	18.95482694	0.602980112	0.019944489	38.14834735	976.3508171
440	0.769331546	29.313486	0.641614083	0.02188212	52.06174221	1018.045876
460	0.748011902	19.99919795	0.608760619	0.017535021	19.02923373	930.935029
480	0.744259076	26.06631034	0.508972622	0.015228535	11.20312627	941.5150003
500	0.721735094	13.13154665	0.538976815	0.066051083	1.226478565	868.5022202
520	0.722941116	34.74091555	0.499848631	0.014792468	2.359380683	932.4542914
