T[C]	HC	CO	NOx	N2O	NH3	H2
120	1003.160635	4947.155119	797.4898988	102.499515	7.421017305	1514.383705
140	997.0236078	4894.95305	626.4048276	140.4696039	14.41449457	1374.338375
160	994.2828425	4762.521477	463.9945738	160.4119703	29.48710077	1165.188162
180	970.7113693	4483.903425	343.8244275	162.5998744	56.39425302	877.6903858
200	928.6587262	4032.658927	318.4196026	142.7584249	88.12447564	668.7301877
220	885.8993528	2595.124792	330.4025126	135.732918	98.07307185	676.0267431
240	627.0174884	360.6502809	233.4800768	207.7519245	29.30325229	704.732633
260	402.5138426	1.548821681	208.7541147	237.1358605	2.430620861	760.8486441
280	254.4150166	1.599931598	212.7162902	241.1509185	1.091690745	815.651891
300	163.3302932	14.23378166	203.780531	236.2317634	12.31955898	868.9643563
320	109.5064897	85.75134885	50.31172517	194.2086133	93.84330658	962.8383548
340	9.910025137	134.8682611	0.786490619	84.92991335	247.5062013	1166.302756
360	2.962785086	27.72964627	0.929479453	3.859882291	224.0302063	1272.639662
380	1.929984702	26.65732486	0.899846444	0.045431216	198.0947133	1225.621083
400	1.334966379	29.21908855	0.898210409	0.036897018	173.4237231	1160.651898
420	1.11906071	32.83729356	0.884051157	0.035743826	155.5566623	1143.785284
440	1.044181201	45.68658389	0.853728302	0.033702859	161.306857	1188.982033
460	1.003706766	52.96265228	0.812944424	0.033644669	131.2887388	1166.347062
480	0.969798622	65.37601434	0.804376737	0.022836175	96.72346819	1189.826634
500	0.950228285	77.93161618	0.824581992	0.020521569	60.38533446	1203.892238
520	0.912306579	106.3284876	0.798328428	0.015484936	50.8262627	1257.084751
