T[C]	HC	CO	NOx	N2O	NH3	H2
120	757.4906384	5110.855957	835.8083617	78.54302505	2.722113608	1490.648177
140	755.9834846	5050.104206	683.4724134	113.2213879	10.84297157	1311.504633
160	759.6005008	4915.703516	538.9317159	133.3606192	27.90331396	1042.769609
180	744.0182235	4622.995289	430.5640005	137.5989099	56.65037991	629.4698132
200	740.8297431	4039.443137	458.3589471	111.1318077	79.37323903	378.7787534
220	689.0625135	1614.990556	460.2343578	114.7299083	65.95280002	376.5715503
240	559.9089165	135.8057827	372.6835324	156.6832169	27.5700243	377.3764703
260	343.6436406	15.69751875	302.3251487	196.7202045	12.06073809	375.6682789
280	212.4764927	22.31022	272.1453018	212.5473316	13.72283015	375.6024725
300	160.1344848	77.03846463	347.1794636	179.5335897	35.66531276	374.8219031
320	98.62982336	118.3755245	64.55083876	189.5740641	118.9276791	407.5082657
340	28.27659567	370.6196842	0.84937015	95.23193581	256.6429512	817.8780937
360	11.10364605	128.0651744	0.954354489	18.98923938	277.9455421	1116.03226
380	10.05591686	53.81790718	0.817585107	0.30988608	266.1567308	1182.439843
400	7.144593608	54.78192481	0.786647994	0.070189568	248.8488256	1062.854685
420	3.58043734	64.83352766	0.792534707	0.07148438	244.363044	1031.014032
440	1.946611757	83.79975821	0.764916739	0.059398907	244.8083275	1069.539863
460	1.485611217	102.2694948	0.757139272	0.063784092	232.3703866	1079.070441
480	1.444294257	127.8384722	0.749770829	0.06162126	210.1339553	1105.062078
500	1.40393586	155.3743585	0.731892101	0.046950437	165.7437727	1128.18459
520	1.36073191	189.1363514	0.712156633	0.039745313	117.2137509	1161.016788
