T[C]	HC	CO	NOx	N2O	NH3	H2
120	499.6303324	5241.100635	807.0784099	97.12781833	2.455938805	1584.282604
140	498.0380615	5176.865617	625.5998519	139.1384193	8.513254796	1429.461872
160	501.1737243	5031.173034	460.29113	160.8177869	22.2539211	1195.395084
180	502.8474212	4706.851019	354.7203254	160.9662382	45.75968144	863.2082166
200	496.3375616	3974.115156	404.4053364	128.7660064	64.76070764	704.0688674
220	501.0970722	1350.587778	386.5994529	148.5105977	34.57879622	714.2931709
240	456.4231085	1.565419518	407.6356709	164.4230801	0.688016395	751.1032004
260	393.7682051	1.041508835	689.2170176	92.57347975	0.464211429	778.9442078
280	346.9224475	0.926042675	896.8783604	38.11979384	0.39211161	797.8759644
300	288.4264799	0.092604268	924.0533794	29.97956985	0.348967744	815.2232691
320	232.3106997	0.009260427	962.1783291	24.92788032	0.296656827	834.5798362
340	173.9720096	0.000926043	993.2137247	21.22915224	0.254870061	857.994487
360	119.6911575	9.26043E-05	912.2476936	29.41082684	0.906493914	885.270088
380	36.1359041	9.26043E-06	259.085255	34.49851197	28.28973707	994.7787178
400	0.772325099	9.26043E-07	1.065156376	0.019592043	127.2191749	1211.965071
420	0.07723251	9.26043E-08	1.081392386	0.021150441	148.5617797	1255.298082
440	0.007723251	9.26043E-09	0.973103347	0.015171793	104.2393991	1172.09296
460	0.000772325	9.26043E-10	0.966765571	0.012068507	100.9055452	1208.613238
480	7.72325E-05	9.26043E-11	0.922884243	0.010281801	85.92350605	1222.38261
500	7.72325E-06	9.26043E-12	0.889981341	0.009710268	67.28745326	1236.768381
520	7.72325E-07	9.26043E-13	0.784701059	0.010412141	31.47947229	1192.079767
