T[C]	HC	CO	NOx	N2O	NH3	H2
120	603.7342464	5252.436073	850.6793485	76.55848928	2.067688779	1667.326932
140	605.5143639	5202.048838	691.6250458	113.1921618	8.318279526	1564.865346
160	603.7422251	5068.330362	537.321071	133.8573916	22.80093924	1360.517441
180	598.3169007	4768.591233	418.9355831	138.5299476	49.05645159	1042.223085
200	592.2178571	4163.508182	424.1947952	115.8026702	72.76537252	804.8287871
220	576.4929341	2725.764286	488.0327348	90.21489479	86.00469928	812.8124479
240	526.8062969	1097.318889	502.4415524	82.95052766	88.02994422	837.9652267
260	437.5235347	253.1798221	471.8977925	107.761777	63.18982177	869.1646814
280	266.0891224	79.23329488	434.1741141	148.5943156	37.71804383	907.8874718
300	139.9381168	55.99456322	367.1157432	176.1509463	28.48827179	964.4884357
320	57.71117815	76.88674249	111.7760242	186.9977731	58.04456431	1028.849791
340	6.272034477	107.6853194	1.187101889	78.49659044	167.4410315	1322.17888
360	1.569921976	21.75846878	1.058523178	2.259176505	192.0755645	1320.128787
380	0.692279239	25.91848629	1.030995541	0.054844321	169.9045908	1323.387019
400	0.005056851	26.4211979	0.963775319	0.03178955	137.5287692	1261.949873
420	0	32.80583967	0.972684874	0.029638503	134.7470576	1254.988947
440	0	38.13595334	0.961824966	0.025559639	117.8713699	1229.519456
460	0	48.98065668	0.938318975	0.026754779	103.9051124	1241.814431
480	0	60.52895314	0.925642485	0.017307818	80.12612172	1255.310787
500	0	77.21380391	0.856433675	0.015025921	60.92026514	1275.500408
520	0	86.51731925	0.81318879	0.012839903	38.33038887	1261.235685
