T[C]	HCa	HCb	HCc	HCd	HCe	CO	NOx	N2O	NH3
120	104.9999996	148.1278293	326.3761891	45.48937647	17.83333333	5283.4134	809.7644514	86.17473919	1.253622694
140	104.9999928	148.0172455	325.8752269	45.40344114	17.83333333	5230.198563	644.9237247	125.974543	6.203620431
160	104.9998868	147.8544238	323.8665655	45.26594065	17.83333333	5104.805616	485.2529498	148.2622002	17.73333
180	104.9986025	147.6051241	316.8376277	45.0368554	17.83333329	4834.281289	368.8748713	152.1440192	39.02498227
200	104.9857361	147.1386745	295.0260369	44.56741737	17.83333176	4269.436667	339.5833837	134.4888772	65.64704382
220	104.8705563	146.2438797	242.132665	43.54021513	17.83327931	3310.525392	425.3154573	98.51527425	89.71600542
240	103.8435712	144.707706	161.115923	41.38476983	17.83180894	2149.066374	505.0470639	69.56073438	116.3055014
260	94.69996622	141.8771908	87.21832329	36.76927753	17.79914726	1128.531905	527.2883954	55.18225963	134.5494427
280	55.98810046	137.0283689	46.13761879	28.63247964	17.39154588	452.5272248	394.2895431	102.6724353	81.16412923
300	23.8676335	124.6958605	27.21594969	17.35238241	15.76974762	17.84284173	302.8559162	157.0511474	2.980797044
320	8.113577645	94.73063288	13.79870464	7.911063694	10.88604046	12.67260368	424.2726981	129.1254144	0.107889059
340	2.358756	55.96560246	6.540473364	3.198246069	3.980379034	12.72018127	484.1207474	113.4558219	0.674082301
360	0.674508873	26.84388222	3.060072203	1.275977321	0.886393693	14.89491107	56.60472361	60.50073948	10.06177645
380	0.201060709	11.69936201	1.434079675	0.523502115	0.175429115	30.85824576	3.410612685	0.05889475	54.46431501
400	0.06314647	5.029146737	0.67349411	0.223315922	0.035582733	28.57800908	3.42797185	0.05803897	38.56669875
420	0.020770169	2.212240051	0.314862613	0.098991379	0.007641721	35.96620364	3.501410874	0.069409617	56.58687626
440	0.007076506	1.008326965	0.145021351	0.045339007	0.001751435	39.35000869	3.39764549	0.068204717	52.70710904
460	0.002465508	0.477409207	0.065035203	0.02125027	0.00042911	42.67276834	3.469240396	0.068433637	35.25251841
480	0.000868641	0.23447766	0.028164446	0.010050241	0.000112302	44.75203082	3.496447271	0.05161057	19.41269398
500	0.0003089	0.119096403	0.011841763	0.004716092	3.13381E-05	49.38237218	3.505078614	0.04789031	14.62587076
520	0.000112504	0.062311609	0.004961527	0.002171251	9.30421E-06	50.4209381	6.088922957	0.682798576	8.241230386
