T[C]	HC	CO	NOx	N2O	NH3	H2
120	433.339901	4943.971214	785.2980908	102.2047096	2.163615343	1560.799714
140	433.0768363	4885.946235	614.234757	139.5401371	9.209754191	1440.549476
160	427.9206294	4774.119707	453.7045568	159.1146601	24.45495677	1259.85971
180	433.7092823	4528.042863	336.5212404	159.7865452	52.55405461	985.8008164
200	429.5115354	4021.083714	342.8161532	133.19201	83.21141902	775.47664
220	426.4118451	3153.873524	451.6620937	93.16613032	109.2698357	788.0859439
240	418.7280054	2019.340269	548.184503	58.6310842	138.1384093	805.4625985
260	392.8048156	1228.144881	610.1378201	35.71764315	135.5238776	821.9684881
280	325.7116618	410.2012054	376.0574637	54.88082457	115.0246393	845.5885107
300	190.8425091	54.58902284	150.2114568	98.74682338	68.86889269	885.8580648
320	85.53684893	18.04986231	46.85858679	124.9007606	40.66830711	937.1293343
340	38.15561642	46.43256294	1.229029462	83.7942891	114.9973553	1014.440255
360	23.77708574	84.79732063	0.742156645	47.01194935	168.1628909	1180.606628
380	6.358694372	49.21085886	0.838903165	7.091840569	188.3638894	1384.804318
400	0.483765329	43.56327224	0.797462819	0.044828406	167.9436679	1414.03482
420	0.048376533	47.14563139	0.726165777	0.016258841	151.9681282	1374.365477
440	0.004837653	59.60361943	0.748282218	0.013580149	155.706157	1383.102307
460	0.000483765	66.61876887	0.749667611	0.012940412	134.7228253	1356.332878
480	4.83765E-05	85.01623697	0.704503836	0.011881024	121.0297011	1375.754724
500	4.83765E-06	102.5940291	0.732193525	0.009383757	89.88739888	1388.145642
520	4.83765E-07	112.9090898	0.759631891	0.006733649	54.43526719	1364.596188
