T[C]	HC	CO	NOx	N2O	NH3	H2
120	501.5865577	5180.73542	830.2574803	83.94321656	1.265016667	1599.765038
140	493.867199	5122.625107	657.7953033	121.0003124	8.264787624	1472.006031
160	491.0117942	4994.341756	502.2692283	135.3881538	24.04721467	1286.155014
180	486.2315609	4745.549072	391.453066	132.6434725	52.90773816	1007.692597
200	488.3624435	4246.50303	382.6783442	109.6488472	85.27584427	706.06072
220	476.0333361	3127.270755	486.4531265	77.98123832	99.007172	698.2919476
240	448.9716499	1602.631313	545.1072228	70.36601395	94.92869251	715.9118647
260	396.9043101	451.8920456	482.7632489	122.3978972	42.56176794	737.9823547
280	271.9651346	78.91396918	362.3382359	168.8768799	10.62655574	776.5949763
300	102.208119	7.891396918	240.5998353	149.4842598	30.53348947	860.2728713
320	38.72510358	0.789139692	36.17375887	128.3222401	100.6824024	978.6825128
340	8.849945517	0.078913969	1.160256958	97.24738899	144.7894736	1443.880865
360	2.872500483	0.007891397	0.116025696	10.12886529	147.6782398	1582.986214
380	0.861750145	0.00078914	0.01160257	0.030156498	130.0821026	1435.754219
400	0.258525043	7.8914E-05	0.001160257	0.006941538	118.191921	1269.277783
420	0.077557513	7.8914E-06	0.000116026	0.0035825	123.8607858	1265.460734
440	0.023267254	7.8914E-07	1.16026E-05	0.004096768	104.5313968	1234.802889
460	0.006980176	7.8914E-08	1.16026E-06	0.003987655	82.29602017	1225.692187
480	0.002094053	7.8914E-09	1.16026E-07	0.002388997	59.81552176	1215.703528
500	0.000628216	7.8914E-10	1.16026E-08	0.003722168	46.49192271	1245.153184
520	0.000188465	7.8914E-11	1.16026E-09	0.00271004	26.21140341	1219.182531
