T[C]	HC	CO	NOx	N2O	NH3	H2
120	604.2190416	5173.886527	823.4808909	78.58322456	7.23145921	1538.188749
140	600.3191013	5114.877037	650.5444891	118.0417821	15.4601438	1378.262121
160	595.6923209	4975.138841	487.4449008	139.6841997	33.53790463	1139.196904
180	584.0862805	4710.370708	355.3342099	145.1221767	66.91460282	789.8463475
200	577.0155701	4291.542883	324.9046073	124.2792122	109.5242309	547.2076161
220	549.695574	3710.779474	429.2130956	79.89810026	141.2611634	542.9716913
240	523.1650863	2785.1075	548.760852	43.57104707	165.4624628	550.3650246
260	469.1859474	2146.57446	665.0644956	22.98357159	159.9820134	561.7211279
280	406.9460965	1651.225932	615.6124577	24.9016704	167.406487	581.534077
300	287.2622388	1118.12844	488.8109273	45.29823877	179.1132797	623.4167764
320	157.9024913	593.991246	284.1276602	99.97926741	150.5333814	681.3920159
340	71.06661534	266.1028568	77.75635785	127.4141933	123.8979265	933.8399372
360	22.75603614	253.4894704	0.87592955	70.37142792	195.8684695	1109.890731
380	5.178671347	105.9205238	0.087592955	13.95953441	157.0238874	1147.30083
400	1.930665168	47.81007937	0.008759295	0.614826693	112.8251901	1167.46641
420	0.386133034	23.90503968	0.00087593	0.064060836	104.9846166	1182.450316
440	0.077226607	11.95251984	8.7593E-05	0.05103108	93.56271565	1153.243565
460	0.015445321	5.976259921	8.7593E-06	0.041212669	80.61604378	1122.92119
480	0.003089064	2.988129961	8.7593E-07	0.037465157	57.64077431	1110.651097
500	0.000617813	1.49406498	8.7593E-08	0.032952417	34.12896109	1152.652964
520	0.000123563	0.74703249	8.7593E-09	0.02681001	18.38500559	1134.33693
