T[C]	HC	CO	NOx	N2O	NH3	H2
120	376.7643982	5143.938369	796.2494911	92.02873418	3.197834038	1476.61246
140	375.3339453	5086.378754	624.1394175	131.9214449	10.87728876	1284.518211
160	377.3820742	4945.601236	462.2274446	153.2965908	27.2021	992.238794
180	376.1653929	4625.386089	358.4683468	153.8395436	54.12364237	572.000098
200	377.7372794	4056.991467	407.2327421	120.4153407	75.83280307	388.3545123
220	371.0869341	3299.351036	499.8726708	82.44874331	101.8586116	387.651435
240	359.3908148	2345.801077	584.3557694	48.72053401	139.0831186	384.8181846
260	337.3005108	1779.764658	654.6041413	28.28597203	143.8822723	385.4599012
280	302.97655	985.9088667	385.8753144	34.4844151	181.5304189	386.4731777
300	223.2169883	192.2465462	85.40424751	44.6501949	137.3007907	386.5606814
320	95.03281138	33.30416229	17.73907548	54.11038926	48.52349184	384.1015189
340	43.27531337	23.38279282	1.196893649	38.93124515	38.81133427	423.7990096
360	37.56236778	14.02967569	0.585432968	8.219300993	42.67834009	636.7952488
380	23.84442298	8.417805414	0.117086594	1.21942256	75.13206987	858.8474406
400	3.939680306	5.050683248	0.023417319	0.116604516	109.2494808	1065.655036
420	0.225111968	3.030409949	0.004683464	0.043566438	142.8344202	1099.439898
440	0.024762317	1.818245969	0.000936693	0.040904748	161.4232626	1071.68424
460	0.002723855	1.090947582	0.000187339	0.037209289	164.036726	1020.150194
480	0.000299624	0.654568549	3.74677E-05	0.031061295	150.8778993	1005.598666
500	3.29586E-05	0.392741129	7.49354E-06	0.031074599	123.8493377	1060.152744
520	3.62545E-06	0.235644678	1.49871E-06	0.032349036	77.3534344	1049.49133
