T[C]	HC	CO	NOx	N2O	NH3	H2
120	1513.609636	5065.943536	819.5569152	82.42048125	2.24381186	1477.252725
140	1502.278487	5008.048624	640.4091074	126.9185923	9.442924058	1285.081733
160	1497.701339	4859.709738	464.239428	153.7873027	26.32678773	990.8745652
180	1483.454109	4535.486157	351.5589243	156.4218675	54.99229294	593.2035319
200	1427.416364	3902.453722	377.0475154	129.9487175	78.90478461	393.9172852
220	1165.91948	1841.578039	367.3528971	131.2771997	75.65897265	392.7542327
240	535.1887647	72.34468049	272.4037818	198.8444616	13.2549631	393.3396367
260	405.309359	26.45664144	268.0457031	207.9994811	7.423418602	392.5550323
280	341.2126532	13.35768651	224.9425827	225.7674982	4.850366391	391.1026391
300	307.9113449	11.18310813	61.86401457	209.1769364	11.48704018	390.021857
320	270.4984881	17.88283106	2.030272845	57.76294737	17.53664562	493.1380187
340	200.160204	4.03503966	5.065956603	13.28821559	13.21497288	488.6517496
360	121.9802597	0.807007932	0.79472822	0.650041367	61.65359508	569.0881475
380	71.36451372	0.161401586	0.07152554	0.032308057	140.3329976	723.5709835
400	40.18376666	0.032280317	0.006437299	0.029575713	189.5778948	853.1829397
420	18.41883889	0.006456063	0.000579357	0.028503573	210.5384243	973.9155812
440	6.135660138	0.001291213	5.21421E-05	0.023577853	200.1856228	950.1826458
460	3.757383345	0.000258243	4.69279E-06	0.021790057	183.5754246	982.6308154
480	1.878691672	5.16485E-05	4.22351E-07	0.023184527	164.1608312	1039.653413
500	0.939345836	1.03297E-05	3.80116E-08	0.015347984	116.0302525	1012.230544
520	0.469672918	2.06594E-06	3.42104E-09	0.009801703	68.92756966	996.349593
