T[C]	HC	CO	NOx	N2O	NH3	H2
120	1497.919262	5284.520927	736.8155009	123.0167736	0.860696252	1619.359072
140	1498.734875	5191.671204	535.2707962	173.3261448	4.764287719	1458.045724
160	1499.93729	5025.354659	352.1168703	199.5168555	14.11434252	1198.456053
180	1499.407994	4637.710892	249.435823	191.3595607	30.68322223	833.8332217
200	1501.152157	3827.077944	305.5575387	152.5805079	45.50277251	649.2232183
220	1416.593675	1007.013655	292.1427611	172.0454963	19.73391154	656.3647668
240	1009.692556	1.988632833	297.5881803	189.1105814	0.052497528	684.0911238
260	513.1178996	1.250515353	353.3682333	172.2782751	0.185895706	719.3251512
280	173.8178525	1.062371404	422.973044	149.508606	0.199317828	771.4309392
300	34.10678616	8.68053584	121.4365475	116.6021938	17.6881827	819.2608114
320	33.07680204	6.291383221	74.30873996	117.6275338	40.41611035	835.2841649
340	1.4971064	1.046971281	1.05686153	0.159869814	147.137274	858.5702391
360	0.854362585	1.438447189	0.961083462	0.030364177	68.7773621	869.0250004
380	0.765574911	2.569581982	0.942257616	0.027511874	49.84781967	880.5112626
400	0.707772424	4.097548696	0.858638046	0.027275342	37.98546661	893.6086714
420	0.670875285	6.07043677	0.774061115	0.025529704	26.27601325	904.1149374
440	0.606611387	8.565513212	0.776749167	0.02265372	16.21447222	914.4107079
460	0.576098186	10.94845594	0.75665419	0.018806287	8.243335661	919.5040213
480	0.543656957	13.44031573	0.734259126	0.014608404	4.000342847	922.1832588
500	0.560319963	16.31685978	0.697438766	0.020351795	2.149996685	925.0340383
520	0.516282754	18.16276512	0.681556643	0.017001576	1.143683708	923.2335726
