T[C]	HC	CO	NOx	N2O	NH3	H2
120	735.766964	5119.126643	819.1968096	81.64957222	2.263974559	1512.539403
140	723.1102473	5066.021545	651.368117	118.5252638	10.30909373	1362.085963
160	707.7189532	4943.355	490.0454207	136.2168271	28.72170957	1146.023755
180	707.4987014	4687.394135	377.5557381	134.3456014	61.68110632	831.7922559
200	708.7031541	4173.341619	391.5803535	107.3764297	94.04614721	556.6420655
220	704.1403149	2439.326667	451.2108235	90.47987242	96.32698701	556.5166293
240	615.5412215	241.701844	370.1967779	156.7695866	21.24210733	575.5773837
260	507.6605782	72.69532197	401.0510862	166.4165288	2.213481188	600.8634138
280	336.9913603	140.9020861	586.5030672	123.2432292	3.046198347	633.9449209
300	172.2211075	168.3713485	257.6639246	117.3422319	58.26724059	672.3152125
320	53.94961198	310.7998387	0.97935433	30.97165491	129.3442049	1213.638831
340	24.84908743	67.17603175	0.778305317	0.457498223	100.2863504	1232.43694
360	13.01024104	17.89694875	0.735861985	0.054840104	106.5087727	1034.452231
380	5.474624207	5.369084626	0.744318527	0.052339107	106.5422105	947.843925
400	2.775806133	1.610725388	0.755124497	0.05103053	108.4974191	922.295579
420	1.110322453	0.483217616	0.718397948	0.049504122	105.3422422	921.8139
440	0.444128981	0.144965285	0.646592202	0.047567725	93.2375241	930.5410127
460	0.177651592	0.043489585	0.698154433	0.037070494	75.30718169	951.1289066
480	0.071060637	0.013046876	0.60479884	0.031867165	44.81250561	956.7276855
500	0.028424255	0.003914063	0.524630133	0.033713264	23.25869465	970.516171
520	0.011369702	0.001174219	0.488080264	0.02800829	11.59030911	975.0389237
