T[C]	HC	CO	NOx	N2O	NH3	H2
120	593.1234097	5004.861944	811.3071464	86.49797074	2.010591806	1503.721555
140	593.9637172	4959.996542	613.3431255	140.0385859	10.33791064	1299.682751
160	593.2202984	4863.433297	449.0526811	169.2875647	28.4535863	995.287818
180	596.1066553	4648.98775	362.5019235	167.8727613	59.1177771	620.6215848
200	583.6888198	4178.020556	393.9808441	131.077899	92.51847468	392.5902844
220	587.7628193	3610.421341	488.7274802	82.83053657	127.4365166	384.9724625
240	561.9546908	2972.674744	610.740789	37.88683837	160.0165213	380.9188322
260	533.0799929	2675.467778	732.2435887	14.63045522	136.8115216	382.0278258
280	477.911278	2059.936316	518.452626	19.49377888	170.3583491	379.294052
300	373.277688	1226.172558	187.1532052	29.30931905	241.1048545	380.7759376
320	159.643839	475.8832521	30.96331173	34.97244423	209.4912101	390.2297172
340	22.19132259	262.3362838	1.068865158	34.14097821	208.760249	653.6673545
360	9.017492468	160.3263441	0.096197864	17.00357085	199.9993809	1005.573175
380	4.713686967	67.37805631	0.008657808	2.771082721	200.6631926	1106.78544
400	2.307549191	46.94011435	0.000779203	0.044249945	194.1048552	973.1810751
420	1.216215728	28.16406861	7.01282E-05	0.027921474	193.4256346	921.7896833
440	0.547297078	16.89844117	6.31154E-06	0.029122829	182.2843296	907.3546316
460	0.246283685	10.1390647	5.68039E-07	0.019467883	186.3389151	990.1301602
480	0.110827658	6.08343882	5.11235E-08	0.02072765	125.8259949	882.0487105
500	0.049872446	3.650063292	4.60111E-09	0.018493438	80.83560728	903.0837839
520	0.022442601	2.190037975	4.141E-10	0.008467651	53.56368404	941.8733186
