T[C]	HC	CO	NOx	N2O	NH3	H2
120	760.4185458	5066.359693	789.8376789	96.95633744	0.463112362	1459.047905
140	760.8420773	5005.681132	615.6168243	136.3555317	8.630920962	1262.590208
160	750.1207889	4869.391212	454.2382649	158.0883641	25.93067185	987.2950178
180	730.037504	4602.344521	340.3400614	160.3863089	55.88277206	618.8714212
200	698.548068	4123.105269	326.5294437	139.1237449	90.4046952	378.5467884
220	668.5889778	2736.12	361.5516995	115.2992129	119.3511476	375.1928955
240	556.7384581	664.7283961	331.6906969	117.0034981	130.5589847	377.2778391
260	467.2415657	692.2556333	417.4710971	85.59062186	146.9616827	377.5238619
280	461.0094529	1137.323173	598.9653046	46.60875761	150.2670348	375.9591155
300	353.9681968	413.3703122	405.2477599	101.1733435	115.724085	376.5133325
320	184.9061709	45.70190886	103.321392	155.9481955	50.43751357	380.0196042
340	87.56095385	360.0571369	4.404173889	101.6958657	259.3289998	443.9379819
360	17.1074753	705.4574222	0.882975582	49.81379148	524.1012076	808.0208676
380	3.400189264	212.1191285	0.176595116	13.99988938	303.1763167	1371.951283
400	0.850047316	68.54943476	0.035319023	0.098952546	255.0430965	1260.174507
420	0.212511829	17.13735869	0.007063805	0.066334985	240.7599424	1182.552073
440	0.053127957	4.284339672	0.001412761	0.057415867	225.7523189	1094.39016
460	0.013281989	1.071084918	0.000282552	0.057510994	224.5374849	1103.507867
480	0.003320497	0.26777123	5.65104E-05	0.056378513	201.6143648	1109.037045
500	0.000830124	0.066942807	1.13021E-05	0.0462035	179.3671128	1219.661959
520	0.000207531	0.016735702	2.26042E-06	0.043091922	117.023646	1190.438647
