T[C]	HC	CO	NOx	N2O	NH3	H2
120	492.0944162	5177.603991	833.5134468	82.97743241	1.45441281	1670.047874
140	485.8317732	5123.097012	663.8600932	119.942649	8.135380168	1657.439591
160	478.3589645	5001.146183	506.7441734	136.2349266	23.62038886	1506.20906
180	479.5071325	4749.161731	393.9966904	134.4446923	52.13736632	1214.923383
200	477.1274772	4222.992197	386.5514778	110.9353323	83.93536403	904.4300571
220	466.4979242	2984.511703	480.6033066	80.74278806	96.46127139	898.7020204
240	438.3152888	1146.669933	496.2194572	89.50223594	78.46383682	922.8796317
260	360.0901594	192.6398204	429.5746814	147.325101	21.53319795	960.3374072
280	223.7502323	59.8230087	372.1608213	164.8716082	6.873109145	1020.041533
300	85.78701115	56.30035781	283.2482453	137.3428386	22.98114217	1113.333448
320	27.18226972	233.9261885	15.8068648	109.5479774	90.88784606	1365.94578
340	4.844711301	219.4517574	1.244366685	61.46817387	122.1585828	1638.888996
360	1.419797232	36.99882271	0.124436668	2.582061726	119.2117983	1616.794328
380	1.018428164	7.399764543	0.012443667	0.048461309	106.070619	1550.148974
400	0.509214082	1.479952909	0.001244367	0.055393171	100.0901447	1449.081668
420	0.254607041	0.295990582	0.000124437	0.022465319	100.1626703	1424.888123
440	0.127303521	0.059198116	1.24437E-05	0.02003076	93.40591487	1425.083269
460	0.06365176	0.011839623	1.24437E-06	0.016805936	90.77224092	1462.103433
480	0.03182588	0.002367925	1.24437E-07	0.012178858	60.78053552	1447.624409
500	0.01591294	0.000473585	1.24437E-08	0.01106403	48.83216633	1480.121452
520	0.00795647	9.4717E-05	1.24437E-09	0.008627182	32.34041395	1473.056607
