T[C]	HC	CO	NOx	N2O	NH3	H2
120	370.5753188	5068.623796	805.1343513	90.29718353	2.446955542	1494.652581
140	380.076183	5020.22071	629.933062	131.6624415	9.933890448	1326.454866
160	376.5742822	4861.360112	463.9319901	154.2871486	26.11999091	1069.840864
180	372.2322278	4531.153196	362.3560451	154.705119	51.95715884	708.6068022
200	372.9499449	3823.531768	422.1265845	121.2278851	69.91809252	584.4658624
220	377.6607489	602.7769252	374.4058195	157.348423	20.24853645	592.3736046
240	343.059765	0.785485442	411.7826416	159.7201304	0.313349325	614.2524042
260	302.1419825	0.278650802	726.4355345	78.91923865	0.192950477	632.0078391
280	269.0938149	0.083595241	862.6206122	39.08627203	0.225145789	647.9458794
300	229.7378883	0.025078572	874.9522501	34.39980432	0.196639978	661.917825
320	180.372523	0.007523572	909.6925519	29.3466457	0.172641688	680.7728869
340	136.5289828	0.002257071	951.1800338	23.47319384	0.090236034	700.5382181
360	95.54708812	0.000677121	967.1991314	21.54028371	0.112628833	718.1685568
380	38.91937671	0.000203136	390.3076065	48.92235352	10.51440039	784.8523555
400	2.527986919	6.09409E-05	1.615989176	3.631439946	26.73278351	872.579628
420	0.474153621	1.82823E-05	0.571836587	0.034803757	61.44624012	973.2566211
440	0.094830724	5.48468E-06	0.171550976	0.037573461	50.11888065	956.9025866
460	0.018966145	1.64541E-06	0.051465293	0.036206429	47.92095539	954.0093088
480	0.003793229	4.93622E-07	0.015439588	0.034512213	27.71491899	950.2359848
500	0.000758646	1.48086E-07	0.004631876	0.026447832	18.25566326	964.7727597
520	0.000151729	4.44259E-08	0.001389563	0.029773791	15.83437424	1019.445539
