T[C]	HC	CO	NOx	N2O	NH3	H2
120	367.6759576	5022.37431	787.911973	98.55964041	2.832580402	1504.81431
140	370.4136433	4967.956321	620.5414798	136.8486856	10.41884706	1360.414998
160	368.7097709	4833.961386	458.6921761	158.6049136	26.67596636	1144.600445
180	366.7436982	4545.076184	347.3457681	161.0059655	54.21807093	835.0292655
200	368.3241819	4001.283056	377.1129786	130.9078325	79.02726278	668.5695722
220	363.536087	3289.054113	476.4424779	90.46058066	105.028467	671.6545291
240	364.907493	2412.568447	557.8983967	52.12401812	148.3452932	681.6138622
260	350.9265039	1676.396954	449.6160584	36.23053526	227.550456	689.3167097
280	309.1480188	494.6317534	113.9722285	45.82129191	248.1811274	704.8283829
300	226.2192822	82.1154116	24.34496643	50.1131029	136.9423304	730.8577152
320	104.24335	18.85804195	10.45400306	68.9369383	35.81565317	764.8091708
340	41.9062229	4.599865239	2.531513465	64.54928052	9.520579453	801.0454977
360	37.31921456	0.919973048	0.598030155	18.03940721	14.24229824	841.1065946
380	37.10684305	0.18399461	0.119606031	2.673869667	19.26326325	947.3029586
400	13.91053781	0.036798922	0.023921206	0.249951328	33.66683943	1091.326061
420	4.845824857	0.007359784	0.004784241	0.028958714	59.48664958	1299.822898
440	0.544917541	0.001471957	0.000956848	0.028307687	80.64914526	1195.826824
460	0.081737631	0.000294391	0.00019137	0.030069678	83.35504174	1121.798588
480	0.012260645	5.88783E-05	3.82739E-05	0.018655735	82.89205287	1161.309807
500	0.001839097	1.17757E-05	7.65479E-06	0.022118496	67.61284337	1205.11796
520	0.000275865	2.35513E-06	1.53096E-06	0.016855939	34.41706655	1195.268929
