T[C]	HC	CO	NOx	N2O	NH3	H2
120	327.7663657	5160.985921	781.3489493	100.03648	2.206546573	1474.774791
140	331.3409604	5101.604352	598.2935401	142.3988288	9.805100534	1283.510351
160	331.0900814	4952.511704	430.5266415	163.1036129	26.76751423	1002.175309
180	332.2967284	4650.191535	325.2315575	161.9888307	56.79696869	600.8724823
200	332.3631615	4089.157793	369.1544464	129.4726812	83.03062556	410.9723409
220	329.877914	3291.495778	462.3733616	90.07620728	109.9913011	407.5995282
240	316.4309214	2269.817255	524.0972598	55.61075145	152.2550282	404.7825809
260	305.2595491	1264.994615	371.8978122	43.57322841	224.8990846	403.2935397
280	274.8810346	245.9382018	58.73944314	48.99625651	203.8388258	404.2227653
300	235.4512717	63.45215178	19.97316276	38.53292709	118.8371183	404.7626952
320	132.5591772	23.87762302	9.778357027	40.63591894	29.98486001	404.9625073
340	53.75975838	7.701581098	1.81839774	39.43275769	7.127428439	402.5102396
360	52.36082954	3.52956707	0.715585682	17.57617989	9.540226252	408.570652
380	46.14195775	1.764783535	0.214675705	4.039467043	11.75739636	478.6844236
400	36.71166638	0.882391767	0.064402711	0.711413496	18.0709476	601.735557
420	19.84239208	0.441195884	0.019320813	0.101580848	30.59006712	822.6134423
440	5.098451533	0.220597942	0.005796244	0.037713977	50.74867252	1123.361837
460	1.52953546	0.110298971	0.001738873	0.035125839	79.00439014	1121.734705
480	0.458860638	0.055149485	0.000521662	0.036411098	90.77063928	1002.959764
500	0.137658191	0.027574743	0.000156499	0.040844976	98.33576059	1025.710153
520	0.041297457	0.013787371	4.69496E-05	0.034690207	84.44631871	1104.253828
