T[C]	HC	CO	NOx	N2O	NH3	H2
120	3032.969125	5317.921396	822.870694	94.52538889	1.648119541	1622.674455
140	3031.847879	5231.831975	637.027547	139.6582364	6.150852784	1458.882867
160	3030.25671	5046.318046	445.7300854	169.1815228	17.06577971	1184.919189
180	3036.73871	4649.080725	325.6561464	169.6100652	36.00634807	794.6631702
200	3033.771692	3774.989116	373.8163068	137.4693665	49.62668488	617.4125519
220	3039.187472	629.8833187	344.4329261	161.8988356	13.37568735	629.2059879
240	3045.785405	50	527.3051303	121.148739	0.072543244	648.767818
260	3043.041466	0.529334526	892.8154419	29.54956094	0.02463099	645.6717415
280	3044.395402	0.264667263	916.0538982	21.26194282	0.015199629	642.7073275
300	3044.184696	0.132333632	955.2323154	17.18793516	0.015109528	643.3040511
320	3033.548869	0.066166816	988.1391967	13.30814392	0.013342157	644.1676473
340	3011.740237	0.033083408	1016.209514	10.44974477	0.012349926	645.3412614
360	2973.393939	0.016541704	1035.610732	8.252744748	0.010109632	643.8182401
380	2899.549382	0.008270852	1046.92459	6.542440503	0.009877391	650.1477524
400	2772.983474	0.004135426	1050.032583	5.367504585	0.007417296	654.3509071
420	2582.33059	0.002067713	1048.51174	4.542557626	0.010710374	664.1361815
440	2305.138624	0.001033856	1044.042595	3.936127407	0.010594632	676.2814868
460	1952.754007	0.000516928	1043.558513	3.407895671	0.00839096	694.5762746
480	1568.243769	0.000258464	1044.335415	2.893971142	0.00961182	722.61626
500	1211.521044	0.000129232	1049.284588	2.374366017	0.012193983	752.9646683
520	953.7345399	6.4616E-05	1055.646127	1.929038302	0.007994448	781.162934
