T[C]	HC	CO	NOx	N2O	NH3	H2
120	426.9052251	5065.367104	781.704662	100.0537698	3.048446376	1506.444166
140	424.8495786	5005.437972	616.3018265	136.8673401	9.713987599	1368.717722
160	426.3967718	4863.995955	457.6475323	156.8471207	24.0943315	1160.368181
180	426.1265023	4557.771507	350.8717119	157.4995596	48.81842921	857.3748685
200	429.4853303	3895.643939	396.05681	126.3801312	69.15025498	706.2268874
220	422.8214726	1393.899821	387.7564644	141.8299922	40.93189688	714.2541148
240	375.9076875	1.171455146	372.7290099	169.7999701	1.026196031	745.8427993
260	278.8416376	0.466657817	494.7903373	137.6798124	0.922724594	780.8932297
280	188.340194	0.347924708	774.5950207	72.06925604	0.594931349	816.1558632
300	114.4379366	0.256424647	816.492151	54.79364694	0.446448598	851.9198067
320	59.12287587	0.179497253	249.1002467	90.53013514	3.509915406	886.1024677
340	30.22266632	0.125648077	0.709955625	14.3670974	21.62087456	948.4769506
360	22.11051729	0.087953654	0.070995562	0.041282846	44.96739304	1084.044916
380	10.2935048	0.061567558	0.007099556	0.027782272	78.47979588	1208.330583
400	1.347044298	0.04309729	0.000709956	0.030996119	106.9067539	1224.970146
420	0.26940886	0.030168103	7.09956E-05	0.033300567	133.5757029	1237.348563
440	0.053881772	0.021117672	7.09956E-06	0.027759786	120.1798886	1178.782243
460	0.010776354	0.014782371	7.09956E-07	0.030904366	129.7372307	1219.468331
480	0.002155271	0.010347659	7.09956E-08	0.025015414	100.1406614	1217.554379
500	0.000431054	0.007243362	7.09956E-09	0.023557078	63.76071134	1207.345666
520	8.62108E-05	0.005070353	7.09956E-10	0.018443291	47.65533186	1233.465417
