T[C]	HC	CO	NOx	N2O	NH3	H2
120	501.4500943	5075.214374	786.0341704	98.19572549	2.310719728	1507.871528
140	494.5756836	5018.969034	616.6600739	135.8131707	8.990722773	1360.472993
160	495.7372362	4885.012247	447.7517869	159.4196832	23.69145027	1146.419507
180	496.7052213	4601.771711	333.1763162	162.3196259	49.96093889	849.3521891
200	482.5214728	3980.150606	358.1504575	133.2993714	74.72160099	665.0061089
220	480.3529828	1497.172222	351.4233574	149.9014388	45.35704393	672.2178427
240	445.4018592	1.196414308	333.4738503	181.6587805	0.436255744	699.5178632
260	359.3343448	0.434295593	497.8912429	136.9412892	0.131435412	730.6227776
280	280.213152	0.272210242	828.9700465	56.46549568	0.105152778	755.9156483
300	211.2619732	0.136105121	880.0155731	38.53885327	0.081248481	779.9337228
320	137.3895219	0.06805256	893.1256181	34.87218293	0.163463759	807.994383
340	58.88697058	0.03402628	442.2161046	62.5493563	10.72011768	846.1147615
360	4.540293635	0.01701314	1.530597435	4.796030435	80.86018136	1068.820839
380	1.52915727	0.00850657	0.639234891	0.017689252	109.8056362	1172.908763
400	0.181747105	0.004253285	0.191770467	0.014301568	138.1352577	1160.519383
420	0.036349421	0.002126643	0.05753114	0.011466452	119.0627202	1139.763828
440	0.007269884	0.001063321	0.017259342	0.013554387	135.9915094	1151.90395
460	0.001453977	0.000531661	0.005177803	0.014920034	146.2746803	1205.653045
480	0.000290795	0.00026583	0.001553341	0.010709977	70.6807744	1144.024252
500	5.81591E-05	0.000132915	0.000466002	0.008536069	70.2928822	1144.960668
520	1.16318E-05	6.64576E-05	0.000139801	0.015650422	88.94749768	1273.002212
