T[C]	HC	CO	NOx	N2O	NH3	H2
120	504.2444414	5231.892215	867.1584313	72.14233953	1.767635774	1670.046576
140	511.2185718	5174.857879	714.0736822	107.4625002	8.023123485	1658.448836
160	504.2559564	5043.026447	562.5465819	127.587346	22.61396427	1528.785847
180	503.3051418	4752.506441	441.5469253	133.7492411	49.18080872	1195.855388
200	499.7610385	4155.425657	441.4533044	112.3665722	74.30053984	936.1104426
220	493.8407933	2638.222299	494.0602613	90.8515268	85.97621456	943.5668374
240	437.4666223	508.0314678	443.1552259	110.4135352	67.68130843	979.0676308
260	337.7868006	75.13577507	381.1458894	142.9011969	44.44418721	1027.179287
280	199.8925431	29.89359242	327.6760745	183.8590317	28.56798382	1077.550837
300	94.61555748	14.94679621	285.8840584	201.7538749	25.4764606	1144.976388
320	52.79106792	7.473398104	73.66497445	191.5413604	64.88731574	1200.443591
340	14.37335346	3.736699052	1.03187736	88.8129122	146.1217429	1413.859924
360	1.185199477	1.868349526	0.092868962	10.69971024	169.7324955	1498.940497
380	0.118519948	0.934174763	0.008358207	0.125079591	152.4841422	1499.666024
400	0.011851995	0.467087382	0.000752239	0.011312853	122.1817499	1424.991205
420	0.001185199	0.233543691	6.77015E-05	0.010929418	142.8511647	1461.396359
440	0.00011852	0.116771845	6.09313E-06	0.010627191	142.788328	1456.653407
460	1.1852E-05	0.058385923	5.48382E-07	0.008864503	146.6089792	1467.232615
480	1.1852E-06	0.029192961	4.93544E-08	0.005813062	96.61543289	1440.270833
500	1.1852E-07	0.014596481	4.44189E-09	0.004829246	64.28820467	1446.13096
520	1.1852E-08	0.00729824	3.9977E-10	0.003043557	36.30175178	1424.185517
