T[C]	HC	CO	NOx	N2O	NH3	H2
120	750.0251212	5281.83731	799.0466766	100.9244456	2.661509807	1459.047905
140	751.287738	5215.645413	608.9060058	146.1228847	8.945184954	1262.590208
160	750.7185201	5066.960556	435.6924871	169.1724119	23.16401419	987.2950178
180	739.2447219	4784.924324	310.4275875	170.199029	49.54839964	618.8714212
200	712.3835491	4322.377091	262.9080281	154.5171801	86.90147244	378.5467884
220	678.3874553	3038.152069	293.9573507	131.5206817	114.3655656	375.1928955
240	568.5004637	903.4764103	308.8652283	121.2481557	124.3871937	377.2778391
260	487.9818734	1638.063226	618.50215	49.08343786	128.2707003	377.5238619
280	474.9189914	1760.254462	727.590365	32.31243862	116.3582672	375.9591155
300	381.8581467	1023.080667	567.413441	63.72395284	127.1458967	376.5133325
320	249.0241488	229.4324076	252.2244993	124.8235003	98.7148484	380.0196042
340	99.2311707	331.1398783	22.1278392	116.2225954	226.9926984	443.9379819
360	11.22599176	541.6513242	1.333223536	50.62181869	495.3191703	808.0208676
380	2.201765407	78.38107139	0.119990118	5.988071621	252.0724402	1371.951283
400	0.727935074	40.07683215	0.010799111	0.049305092	175.0626352	1260.174507
420	0.363967537	37.24119721	0.00097192	0.040195368	150.2545032	1182.552073
440	0.181983768	26.06883805	8.74728E-05	0.03451525	133.7708853	1094.39016
460	0.090991884	18.24818663	7.87255E-06	0.027196861	118.9687415	1103.507867
480	0.045495942	12.77373064	7.0853E-07	0.023256762	98.41564015	1109.037045
500	0.022747971	8.94161145	6.37677E-08	0.015746667	61.25622506	1219.661959
520	0.011373986	6.259128015	5.73909E-09	0.018688969	38.9219174	1190.438647
