T[C]	HC	CO	NOx	N2O	NH3	H2
120	430.6609914	5256.256874	805.040405	97.26931199	1.959730234	1596.466698
140	428.4834466	5200.007191	623.4717422	139.8747654	7.943034636	1464.145032
160	429.0974689	5042.383778	456.5462658	161.2750773	21.56838475	1235.719512
180	428.1933728	4707.173151	349.1736238	161.142016	45.24304165	906.2728734
200	426.7565261	4026.267172	394.5510347	130.0161606	65.25726461	746.5474556
220	432.4015266	1503.316222	386.7475859	146.2637678	37.98671378	755.1046437
240	377.3525744	1.557556741	385.7215274	170.8441482	0.315334926	791.4020334
260	289.141157	1.040169667	539.320317	130.4593091	0.13075058	828.2329961
280	212.4692581	0.927740373	848.7248484	57.08258624	0.088127537	863.527098
300	149.1659093	0.839923235	897.2390491	40.10795357	0.064624344	898.0994213
320	88.85479998	0.671938588	666.6645734	70.50468699	2.382416269	932.853374
340	28.53938014	0.53755087	64.25701305	57.86095944	26.98115479	1025.136534
360	7.699603926	0.430040696	1.149901639	0.018052944	71.63682916	1229.253263
380	3.041135649	0.344032557	0.103491147	0.019396758	91.51634608	1298.495543
400	0.54774134	0.275226046	0.009314203	0.014186345	115.2820354	1304.639875
420	0.282785576	0.220180837	0.000838278	0.013083753	116.4248997	1291.63441
440	0.141392788	0.176144669	7.5445E-05	0.010288753	125.6008371	1302.803187
460	0.070696394	0.140915735	6.79005E-06	0.013207705	121.6226092	1320.653746
480	0.035348197	0.112732588	6.11105E-07	0.009620956	92.99753941	1329.10082
500	0.017674099	0.090186071	5.49994E-08	0.006436959	41.27502595	1254.014822
520	0.008837049	0.072148857	4.94995E-09	0.004411373	40.18734867	1276.388512
