T[C]	HC	CO	NOx	N2O	NH3	H2
120	375.5888418	5073.522405	795.5411366	94.86582057	2.678228702	1492.850087
140	374.9329548	5011.032013	628.6180601	132.1958424	10.31932517	1334.925031
160	369.0062019	4861.939026	469.6274327	153.1593344	26.39591874	1096.429421
180	369.104159	4544.708578	364.4739543	154.896881	52.81079673	764.9355793
200	366.5624678	3917.27451	401.2773221	125.0087718	75.60288332	619.1065624
220	356.4276689	937.6307425	372.570557	155.8343541	32.4638276	627.2266149
240	308.649007	1.535216491	358.7918664	179.1284472	0.625014158	647.6193189
260	209.7673033	0.808738717	435.8689608	155.5834221	0.267153444	678.4467978
280	122.8646326	0.616227882	661.118585	98.43977803	0.171950167	716.2311443
300	64.76899104	0.492982306	769.2422812	66.26260909	0.821767506	752.3917388
320	28.13856037	0.394385844	200.722807	113.9801499	7.250215732	773.7384262
340	12.26702632	0.315508676	1.260864696	19.58587795	21.78425248	834.4017241
360	6.668587335	0.25240694	0.765730521	0.062096833	38.65111021	983.7601407
380	1.31820662	0.201925552	0.382865261	0.040691503	53.35012261	1014.895812
400	0.443042063	0.161540442	0.19143263	0.035921643	54.90196982	1000.567556
420	0.132912619	0.129232354	0.095716315	0.034691551	51.44526786	963.0490756
440	0.039873786	0.103385883	0.047858158	0.042753991	73.04750164	1028.570511
460	0.011962136	0.082708706	0.023929079	0.027096664	30.63022161	947.1194132
480	0.003588641	0.066166965	0.011964539	0.030055154	49.94551911	1028.75223
500	0.001076592	0.052933572	0.00598227	0.02665416	6.540287827	925.2643872
520	0.000322978	0.042346858	0.002991135	0.026114989	8.880750864	989.3849267
