T[C]	HC	CO	NOx	N2O	NH3	H2
120	998.4599667	5347.009912	818.1351907	93.45557084	1.723448575	1511.858895
140	998.8557191	5278.895382	635.5202546	138.1710069	6.32700556	1367.094571
160	999.7653704	5118.894111	444.6703811	168.1161984	17.61825476	1123.164921
180	999.1734731	4755.34446	319.5576598	169.0883229	38.06643954	770.3343964
200	1000.831182	3947.605699	362.478252	135.8989103	55.70010505	573.9922163
220	1002.720656	879.7097803	342.6736294	158.98277	21.54217316	579.92859
240	1002.246182	387	439.4688394	145.5716185	0.12116156	602.0974963
260	1000.453467	70	863.533517	40.50404458	0.037506732	603.2493701
280	995.7556328	7	899.3254737	27.25288654	0.024232542	604.2188719
300	986.8009632	3.5	947.8315036	21.43935578	0.020413603	606.1460794
320	969.5454365	1.75	995.2853624	17.2650385	0.01779344	604.3224615
340	927.5484702	0.875	1021.159859	13.47541087	0.017379979	610.0365475
360	841.3480244	0.4375	1045.338008	11.43612175	0.021254789	615.7053504
380	694.751312	0.21875	1055.191353	10.42934837	0.016540766	631.5194411
400	509.0642504	0.109375	1054.620724	10.47721881	0.017307986	653.4974034
420	333.7693297	0.0546875	1048.023598	10.60623745	0.008094458	680.7231202
440	191.7793559	0.02734375	1032.944682	13.75895824	0.018265602	705.5115608
460	90.88880298	0.013671875	740.9265452	67.82848013	0.013941089	728.3443798
480	28.13759333	0.006835938	253.2673911	123.6808788	0.013493454	747.1413171
500	8.083227313	0.003417969	112.80533	86.65568148	0.022139686	755.4329251
520	4.49125014	0.001708984	121.5786952	48.49134675	0.015935309	759.3481075
