T[C]	HC	CO	NOx	N2O	NH3	H2
120	1000.319588	5274.6301	761.9072177	113.5768193	0.58402943	1508.087942
140	1000.848061	5196.052813	566.0529557	162.9950591	4.820162072	1365.861717
160	1000.470081	5022.909551	378.2443242	190.7808366	14.93320763	1139.250333
180	1001.169271	4661.434028	266.3910059	186.5291033	33.20501379	812.6624165
200	997.5998247	3908.150974	305.4012261	151.4063642	49.27549903	619.9397271
220	980.6932059	2732.61709	435.6160421	109.2683528	63.483979	625.4095532
240	928.1044512	1606.710182	602.508149	68.93783634	69.73703234	638.2291388
260	841.1507664	1130.983244	800.1267462	33.26416535	59.49852235	650.7764152
280	742.1381021	934.226715	772.4503062	33.32146988	75.51697483	663.454498
300	576.738301	630.0003018	668.8827935	50.85721072	97.316672	681.3135896
320	334.0121716	264.2514962	506.5656719	90.15145443	89.4468063	708.6681893
340	91.17051056	39.27117593	215.0277433	110.4347177	48.03975141	747.1951828
360	2.372657248	1.64135459	1.636263925	7.755018757	27.71439118	791.1370206
380	1.450421752	0.820677295	2.074251787	37.94902799	2.65186967	795.3238239
400	0.725210876	0.410338648	18.08637379	121.477275	0.05965083	791.045082
420	0.362605438	0.205169324	32.78668385	134.2673956	0.019008344	789.2431296
440	0.181302719	0.102584662	48.60691061	127.7786503	0.014801574	790.6136363
460	0.09065136	0.051292331	68.17242682	110.7188796	0.01346724	789.1242276
480	0.04532568	0.025646165	93.72839473	84.20125151	0.017873466	786.5687905
500	0.02266284	0.012823083	120.994813	54.29524115	0.012007188	782.6413391
520	0.01133142	0.006411541	149.3275269	28.76783809	0.014358142	781.7942374
