T[C]	HC	CO	NOx	N2O	NH3	H2
120	429.9707775	5048.132494	785.9221007	95.69625826	2.557389002	1548.694158
140	429.6469801	4990.786137	610.1301142	137.0377942	10.31867111	1439.866195
160	432.5147054	4849.85	445.3662768	159.4994959	27.15309373	1274.776993
180	432.4855743	4551.059035	337.3679231	160.2786409	55.44374061	1041.230715
200	426.873293	3980.648565	380.114627	128.0809429	79.11087821	929.0446817
220	428.2326487	3143.690365	473.0928438	89.75459077	103.9462094	928.1602596
240	417.9693569	2186.514695	535.2796825	54.7773011	148.8462746	932.2120388
260	402.4586636	1394.79744	418.3296936	39.92063449	224.6317866	938.3120042
280	319.2580303	271.5462783	114.0913746	60.45363255	196.2906954	947.363683
300	179.6401214	31.34401616	26.58369353	81.1427146	89.9560026	961.8609458
320	45.85704403	7.967678448	7.495255295	109.5556763	18.49157164	984.7922279
340	24.25451563	2.973828219	1.164557171	72.84682406	16.479714	1004.544507
360	18.26456286	6.831221109	0.611147737	12.78480925	23.31452656	1048.067464
380	7.501307425	17.30586228	0.589628012	0.954328223	34.12850516	1142.604846
400	0.597391678	22.84104744	0.670674982	0.027980526	48.69001318	1176.96656
420	0.378376716	21.91574744	0.641479716	0.014159199	54.34317262	1148.380834
440	0.343674577	21.9410777	0.620574624	0.016018832	45.39894591	1133.991229
460	0.334602338	29.01068192	0.580472203	0.017457944	39.50510926	1128.092882
480	0.289198765	37.18506374	0.544980463	0.012152404	24.8332844	1135.091786
500	0.281010671	42.91591482	0.531610552	0.015276523	11.09793596	1136.387664
520	0.278715679	50.73264931	0.505485047	0.011717749	5.082869233	1136.242944
