WinRates
Decks	8 Rack	8 Whack	Abzan	Ad Nauseam	Affinity	Amulet Titan	Bant Company	Bant Turbofog	Blue Tron	Blue Valakut	Bogles	Bridgevine	Burn	Cheerios	Death and Taxes	Devoted Vizier	Devotion to Black	Devotion to Green	Devotion to White	Dragonstorm	Dredge	Eldrazi	Eldrazi and Taxes	Electro End	Elves	Enchantress	Esper Control	Esper Vengeance	Faeries	Goblins	Grishoalbrand	Grixis Control	Hardened Scales	Hollow One	Humans	Infect	Izzet Phoenix	Jeskai Ascendancy	Jeskai Control	Jund	Kiki	Landfall Aggro	Lantern Control	Living End	Mardu Pyromancer	Martyr of Sands	Merfolk	Mill	Mono-Green Stompy	Nonblue Electro End	Polymorph Tokens	Ponza	R/G Valakut	Red Phoenix	Red Prison	Rock	Scrap Trawler	Shadow	Shadow Zoo	Slivers	Soulflayer	Spirits	Storm	Sultai Midrange	Sultai Reclamation	Tron	Turns	U/R Other	U/R Wizards	Valuetown	W/B Tokens	W/U Control	W/U Mentor	W/U/R Other	Whir Prison	Zombies	Zoo	Unknown
8 Rack	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.6	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.6666666666666666	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
8 Whack	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.3333333333333333	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.75	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
Abzan	0.5	0.5	0.5	0.5	0.25	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.3333333333333333	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.3333333333333333	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.8	0.5	0.8	0.5	0.45454545454545453	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.25	0.5	0.5	0.4	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
Ad Nauseam	0.5	0.5	0.5	0.5	0.7142857142857143	0.5	0.5	0.5	0.5	0.6666666666666666	0.6666666666666666	0.5	0.8461538461538461	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.875	0.5	0.5	0.5	0.8	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.8125	0.5	0.14285714285714285	0.5	0.46153846153846156	0.5	0.5	0.5	0.5	0.6666666666666666	0.5	0.75	0.5	0.5	0.5	0.25	0.5	0.5	0.5	0.5	0.5	0.75	0.3333333333333333	0.3	0.5	0.2727272727272727	0.5	0.5	0.5	0.5714285714285714	0.3333333333333333	0.5	0.5	0.6428571428571429	0.5	0.3333333333333333	0.5	0.5	0.5	0.6666666666666666	0.5	0.5	0.5	0.5	0.5	0.5
Affinity	0.5	0.5	0.75	0.2857142857142857	0.5	0.6	0.5	0.5	0.5	0.5	0.25	0.5	0.5111111111111111	0.5	0.5	0.25925925925925924	0.5	0.5	0.5	0.5	0.2777777777777778	0.5	0.75	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.3333333333333333	0.3333333333333333	0.8095238095238095	0.5280898876404494	0.5263157894736842	0.45121951219512196	0.5	0.47619047619047616	0.5555555555555556	0.75	0.5	0.75	0.5	0.5	0.5	0.5	0.85	0.5	0.5	0.5	0.5	0.5652173913043478	0.6666666666666666	0.6	0.76	0.5	0.5172413793103449	0.3333333333333333	0.5	0.5	0.6956521739130435	0.5555555555555556	0.5	0.5	0.3880597014925373	0.5	0.4	0.5	0.5	0.5	0.2777777777777778	0.5	0.5	0.4666666666666667	0.5	0.25	0.5
Amulet Titan	0.5	0.5	0.5	0.5	0.4	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.7142857142857143	0.5	0.5	0.25	0.5	0.5	0.5	0.5	0.75	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.6666666666666666	0.3333333333333333	0.5	0.4444444444444444	0.5	0.75	0.6666666666666666	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.25	0.75	0.5	0.36363636363636365	0.5	0.35714285714285715	0.25	0.5	0.5	0.16666666666666666	0.5	0.5	0.5	0.3125	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
Bant Company	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.25	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.25	0.5	0.5	0.5	0.5	0.5	0.5
Bant Turbofog	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
Blue Tron	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.3333333333333333	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.375	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.25	0.8	0.5	0.2	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.25	0.5	0.5	0.6666666666666666	0.5	0.6666666666666666	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.25	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
Blue Valakut	0.5	0.5	0.5	0.3333333333333333	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.3333333333333333	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.75	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.15	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.3333333333333333	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
