GamesWon																	
Decks	Affinity	Spirits	Burn	Devoted Vizier	Dredge	Shadow	Tron	Hardened Scales	Hollow One	Humans	Infect	Jeskai Control	Jund	Storm	R/G Valakut	Izzet Phoenix	W/U Control
Affinity	10	7	24	6	3	7	16	2	14	29	9	18	8	5	8	11	10
Spirits	5	10	23	17	19	20	27	21	7	27	14	17	17	2	16	12	25
Burn	33	24	10	11	8	18	54	15	18	59	27	42	28	35	9	2	30
Devoted Vizier	18	3	21	10	8	5	20	2	12	21	8	8	7	4	8	2	11
Dredge	17	15	15	6	10	10	8	3	2	10	3	13	7	2	8	17	11
Shadow	6	21	11	11	2	10	20	2	6	22	15	13	12	19	12	6	24
Tron	28	31	38	14	9	25	10	24	21	82	14	62	23	14	15	10	30
Hardened Scales	7	24	26	6	17	9	22	10	10	22	7	8	16	5	8	10	11
Hollow One	4	7	24	3	3	11	20	6	10	29	9	22	6	7	10	2	12
Humans	36	16	67	23	10	32	55	22	25	10	33	41	51	35	19	10	40
Infect	9	15	14	5	2	4	30	4	11	20	10	9	7	4	18	1	13
Jeskai Control	21	17	24	12	3	12	25	8	14	49	10	10	31	14	10	8	24
Jund	11	18	40	5	11	11	22	6	5	28	16	10	10	13	9	9	18
Storm	3	4	12	6	4	1	24	5	5	21	10	14	10	10	10	8	20
R/G Valakut	7	11	19	8	7	3	22	8	7	25	6	13	10	3	10	11	12
Izzet Phoenix	9	23	6	6	3	2	8	9	6	7	11	12	7	12	9	10	11
W/U Control	27	18	38	19	4	31	30	24	20	45	18	15	27	8	8	9	10
																	
GamesPlayed																	
Decks	Affinity	Spirits	Burn	Devoted Vizier	Dredge	Shadow	Tron	Hardened Scales	Hollow One	Humans	Infect	Jeskai Control	Jund	Storm	R/G Valakut	Izzet Phoenix	W/U Control
Affinity	20	12	57	24	20	13	44	9	18	65	18	39	19	8	15	20	37
Spirits	12	20	47	20	34	41	58	45	14	43	29	34	35	6	27	35	43
Burn	57	47	20	32	23	29	92	41	42	126	41	66	68	47	28	8	68
Devoted Vizier	24	20	32	20	14	16	34	8	15	44	13	20	12	10	16	8	30
Dredge	20	34	23	14	20	12	17	20	5	20	5	16	18	6	15	20	15
Shadow	13	41	29	16	12	20	45	11	17	54	19	25	23	20	15	8	55
Tron	44	58	92	34	17	45	20	46	41	137	44	87	45	38	37	18	60
Hardened Scales	9	45	41	8	20	11	46	20	16	44	11	16	22	10	16	19	35
Hollow One	18	14	42	15	5	17	41	16	20	54	20	36	11	12	17	8	32
Humans	65	43	126	44	20	54	137	44	54	20	53	90	79	56	44	17	85
Infect	18	29	41	13	5	19	44	11	20	53	20	19	23	14	24	12	31
Jeskai Control	39	34	66	20	16	25	87	16	36	90	19	20	41	28	23	20	39
Jund	19	35	68	12	18	23	45	22	11	79	23	41	20	23	19	16	45
Storm	8	6	47	10	6	20	38	10	12	56	14	28	23	20	13	20	28
R/G Valakut	15	27	28	16	15	15	37	16	17	44	24	23	19	13	20	20	20
Izzet Phoenix	20	35	8	8	20	8	18	19	8	17	12	20	16	20	20	20	20
W/U Control	37	43	68	30	15	55	60	35	32	85	31	39	45	28	20	20	20
