Decks	Affinity	Spirits	Burn	Counters Company	Dredge	Grixis Death's Shadow	Gx Tron	Hardened Scales	Hollow One	Humans	Infect	Jeskai Control	GBx	Storm	Titan	UR Phoenix	UW Control
Affinity	0.5	0.583	0.421	0.25	0.15	0.538	0.365	0.222	0.778	0.446	0.5	0.462	0.421	0.625	0.533	0.55	0.27
Spirits	0.417	0.5	0.489	0.85	0.559	0.488	0.466	0.467	0.5	0.628	0.483	0.5	0.486	0.333	0.593	0.343	0.581
Burn	0.579	0.511	0.5	0.344	0.348	0.621	0.587	0.366	0.429	0.468	0.659	0.636	0.412	0.745	0.321	0.25	0.441
Counters Company	0.75	0.15	0.656	0.5	0.571	0.312	0.588	0.25	0.8	0.477	0.615	0.4	0.583	0.4	0.5	0.25	0.367
Dredge	0.85	0.441	0.652	0.429	0.5	0.833	0.471	0.15	0.4	0.5	0.6	0.812	0.389	0.333	0.533	0.85	0.733
Grixis Death's Shadow	0.462	0.512	0.379	0.688	0.167	0.5	0.444	0.182	0.353	0.407	0.789	0.52	0.522	0.95	0.8	0.75	0.435
Gx Tron	0.635	0.534	0.413	0.412	0.529	0.556	0.5	0.522	0.512	0.599	0.318	0.713	0.511	0.368	0.405	0.556	0.5
Hardened Scales	0.778	0.533	0.634	0.75	0.85	0.818	0.478	0.5	0.625	0.5	0.636	0.5	0.727	0.5	0.5	0.526	0.314
Hollow One	0.222	0.5	0.571	0.2	0.6	0.647	0.488	0.375	0.5	0.537	0.45	0.611	0.545	0.583	0.588	0.25	0.375
Humans	0.554	0.372	0.532	0.523	0.5	0.593	0.401	0.5	0.463	0.5	0.623	0.456	0.646	0.625	0.432	0.588	0.471
Infect	0.5	0.517	0.341	0.385	0.4	0.211	0.682	0.364	0.55	0.377	0.5	0.474	0.304	0.286	0.75	0.083	0.419
Jeskai Control	0.538	0.5	0.364	0.6	0.188	0.48	0.287	0.5	0.389	0.544	0.526	0.5	0.756	0.5	0.435	0.4	0.615
GBx	0.579	0.514	0.588	0.417	0.611	0.478	0.489	0.273	0.455	0.354	0.696	0.244	0.5	0.565	0.474	0.562	0.4
Storm	0.375	0.667	0.255	0.6	0.667	0.05	0.632	0.5	0.417	0.375	0.714	0.5	0.435	0.5	0.769	0.4	0.714
Titan	0.467	0.407	0.679	0.5	0.467	0.2	0.595	0.5	0.412	0.568	0.25	0.565	0.526	0.231	0.5	0.55	0.6
UR Phoenix	0.45	0.657	0.75	0.75	0.15	0.25	0.444	0.474	0.75	0.412	0.917	0.6	0.438	0.6	0.45	0.5	0.55
UW Control	0.73	0.419	0.559	0.633	0.267	0.565	0.5	0.686	0.625	0.529	0.581	0.385	0.6	0.286	0.4	0.45	0.5
